Period,Subsidiary,Transaction Number,Document Number,Reversal Of No.,Type,Name,Number,Display Name,Amount (Debit),Amount (Credit),Amount,Memo (Main),Memo,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Currency,Exchange Rate,Department,Created By,Auto Approved JE
Feb 2025,"SentinelOne, Inc.",JOURNAL97061,JE97061,,Journal,Amazon Web Services,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,0.00 ,0.00 ,,Rev Rec Destination,0.00 ,0.00 ,USD,1,,Matthew Levinson,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL93021,JE93021,JE93020,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,037.80 ","(1,037.80)",Brex Jan CC Accrual,Brex Jan CC Accrual,0.00 ,"1,037.80 ",USD,1,40100 Sales Management,Yazhi Liu,No
Feb 2025,"SentinelOne, Inc.",JOURNAL96308,JE96308,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"2,906.63 ",0.00 ,"2,906.63 ",Brex Feb CC Accrual,Brex Feb CC Accrual,"2,906.63 ",0.00 ,USD,1,49000 Enablement,Esther Park,No
Feb 2025,"SentinelOne, Inc.",JOURNAL95745,JE95745,,Journal,Cvent Inc.,68100,68100 Sales Related Expenses : Sales Conference & Services,"31,302.93 ",0.00 ,"31,302.93 ",,Amortization Destination,"31,302.93 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95750,JE95750,,Journal,Cvent Inc.,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,447.69 ",0.00 ,"1,447.69 ",,Amortization Destination,"1,447.69 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95747,JE95747,,Journal,Erin Daughenbaugh Productions,68100,68100 Sales Related Expenses : Sales Conference & Services,"197,838.50 ",0.00 ,"197,838.50 ",,Amortization Destination,"197,838.50 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,Erin Daughenbaugh Productions,68100,68100 Sales Related Expenses : Sales Conference & Services,"197,839.25 ",0.00 ,"197,839.25 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 14026-1,"197,839.25 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,"H2 Video, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,"10,049.00 ",0.00 ,"10,049.00 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 13886-1,"10,049.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL93963,JE93963,JE93962,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"4,868.70 ","(4,868.70)",AP Accrual - January 2025 Open PO accruals,AP Accrual - January 2025 Open PO accruals 14471-1,0.00 ,"4,868.70 ",USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,"19,241.39 ",0.00 ,"19,241.39 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 14758-1,"19,241.39 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL95745,JE95745,,Journal,Jay S. Siegan,68100,68100 Sales Related Expenses : Sales Conference & Services,"50,000.00 ",0.00 ,"50,000.00 ",,Amortization Destination,"50,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,Jay S. Siegan,68100,68100 Sales Related Expenses : Sales Conference & Services,"4,198.94 ",0.00 ,"4,198.94 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 13777-1,"4,198.94 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
